pop_size,max_gen,pcross,pmut,tournament_k,run_index,best_fitness,time_sec
20,50,0.6,0.01,2,1,-266622,0.0124
20,50,0.6,0.01,2,2,-407185,0.0117
20,50,0.6,0.01,2,3,-318568,0.0110
20,50,0.6,0.01,3,1,-71934,0.0110
20,50,0.6,0.01,3,2,-136100,0.0113
20,50,0.6,0.01,3,3,-249595,0.0112
20,50,0.6,0.05,2,1,-656436,0.0119
20,50,0.6,0.05,2,2,-755532,0.0125
20,50,0.6,0.05,2,3,-710561,0.0119
20,50,0.6,0.05,3,1,-649899,0.0120
20,50,0.6,0.05,3,2,-543828,0.0119
20,50,0.6,0.05,3,3,-604928,0.0118
20,50,0.8,0.01,2,1,-182374,0.0107
20,50,0.8,0.01,2,2,-339953,0.0110
20,50,0.8,0.01,2,3,-404568,0.0112
20,50,0.8,0.01,3,1,-257457,0.0113
20,50,0.8,0.01,3,2,-84592,0.0113
20,50,0.8,0.01,3,3,-223841,0.0113
20,50,0.8,0.05,2,1,-858526,0.0129
20,50,0.8,0.05,2,2,-702699,0.0130
20,50,0.8,0.05,2,3,-752017,0.0126
20,50,0.8,0.05,3,1,-675193,0.0122
20,50,0.8,0.05,3,2,-577422,0.0120
20,50,0.8,0.05,3,3,-628941,0.0124
20,100,0.6,0.01,2,1,-115591,0.0208
20,100,0.6,0.01,2,2,-147455,0.0207
20,100,0.6,0.01,2,3,-28715,0.0211
20,100,0.6,0.01,3,1,804,0.0203
20,100,0.6,0.01,3,2,804,0.0208
20,100,0.6,0.01,3,3,804,0.0206
20,100,0.6,0.05,2,1,-821877,0.0237
20,100,0.6,0.05,2,2,-743312,0.0235
20,100,0.6,0.05,2,3,-796561,0.0241
20,100,0.6,0.05,3,1,-499722,0.0231
20,100,0.6,0.05,3,2,-490995,0.0231
20,100,0.6,0.05,3,3,-628503,0.0231
20,100,0.8,0.01,2,1,-29591,0.0208
20,100,0.8,0.01,2,2,-127811,0.0208
20,100,0.8,0.01,2,3,-37015,0.0211
20,100,0.8,0.01,3,1,811,0.0203
20,100,0.8,0.01,3,2,849,0.0204
20,100,0.8,0.01,3,3,887,0.0200
20,100,0.8,0.05,2,1,-666028,0.0237
20,100,0.8,0.05,2,2,-655987,0.0237
20,100,0.8,0.05,2,3,-714919,0.0240
20,100,0.8,0.05,3,1,-651191,0.0233
20,100,0.8,0.05,3,2,-540751,0.0235
20,100,0.8,0.05,3,3,-548175,0.0240
50,50,0.6,0.01,2,1,773,0.0274
50,50,0.6,0.01,2,2,-270553,0.0284
50,50,0.6,0.01,2,3,-147882,0.0279
50,50,0.6,0.01,3,1,669,0.0272
50,50,0.6,0.01,3,2,-103798,0.0273
50,50,0.6,0.01,3,3,773,0.0266
50,50,0.6,0.05,2,1,-730643,0.0305
50,50,0.6,0.05,2,2,-735450,0.0313
50,50,0.6,0.05,2,3,-685661,0.0305
50,50,0.6,0.05,3,1,-520231,0.0305
50,50,0.6,0.05,3,2,-496218,0.0302
50,50,0.6,0.05,3,3,-491006,0.0305
50,50,0.8,0.01,2,1,-42249,0.0284
50,50,0.8,0.01,2,2,-184115,0.0274
50,50,0.8,0.01,2,3,-22605,0.0273
50,50,0.8,0.01,3,1,-26536,0.0279
50,50,0.8,0.01,3,2,766,0.0272
50,50,0.8,0.01,3,3,-782,0.0275
50,50,0.8,0.05,2,1,-715795,0.0302
50,50,0.8,0.05,2,2,-689165,0.0299
50,50,0.8,0.05,2,3,-593135,0.0298
50,50,0.8,0.05,3,1,-396706,0.0290
50,50,0.8,0.05,3,2,-512380,0.0296
50,50,0.8,0.05,3,3,-444721,0.0292
50,100,0.6,0.01,2,1,766,0.0491
50,100,0.6,0.01,2,2,849,0.0487
50,100,0.6,0.01,2,3,-32646,0.0488
50,100,0.6,0.01,3,1,887,0.0483
50,100,0.6,0.01,3,2,887,0.0478
50,100,0.6,0.01,3,3,887,0.0482
50,100,0.6,0.05,2,1,-703575,0.0577
50,100,0.6,0.05,2,2,-674766,0.0571
50,100,0.6,0.05,2,3,-744177,0.0574
50,100,0.6,0.05,3,1,-418091,0.0554
50,100,0.6,0.05,3,2,-401502,0.0560
50,100,0.6,0.05,3,3,-350870,0.0560
50,100,0.8,0.01,2,1,849,0.0486
50,100,0.8,0.01,2,2,-23043,0.0507
50,100,0.8,0.01,2,3,842,0.0486
50,100,0.8,0.01,3,1,887,0.0479
50,100,0.8,0.01,3,2,887,0.0478
50,100,0.8,0.01,3,3,887,0.0477
50,100,0.8,0.05,2,1,-662097,0.0568
50,100,0.8,0.05,2,2,-669510,0.0570
50,100,0.8,0.05,2,3,-704451,0.0568
50,100,0.8,0.05,3,1,-442542,0.0565
50,100,0.8,0.05,3,2,-431198,0.0555
50,100,0.8,0.05,3,3,-448652,0.0565
